Country Name;Time;General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS];Progression to secondary school (%) [SE.SEC.PROG.ZS];School enrollment, secondary (% gross) [SE.SEC.ENRR];School enrollment, secondary (% net) [SE.SEC.NENR];School enrollment, tertiary (% gross) [SE.TER.ENRR];Present value of external debt (% of GNI) [DT.DOD.PVLX.GN.ZS];GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG];GDP per capita (current US$) [NY.GDP.PCAP.CD];GDP (current US$) [NY.GDP.MKTP.CD];Life expectancy at birth, total (years) [SP.DYN.LE00.IN];Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS];Multidimensional poverty headcount ratio (World Bank) (% of population) [SI.POV.MPWB];Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS];Expense (% of GDP) [GC.XPN.TOTL.GD.ZS];Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS];Taxes on income, profits and capital gains (% of total taxes) [GC.TAX.YPKG.ZS];Control of Corruption: Percentile Rank [CC.PER.RNK];Government Effectiveness: Percentile Rank [GE.PER.RNK];Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]
Argentina;1974;13,15323273;29,05048;52,76239014;40,49867;22,88301086;;3,754159661;;;66,563;;;;;;;;;3,4
Argentina;1975;12,58917764;;54,38755035;41,97323;27,07715988;;-1,673528395;;;67,081;;;;;;;;;2,3
Argentina;1976;9,420094728;;55,88048172;;27,01173973;;-3,563802521;;;67,228;;;;;;;;;4,5
Argentina;1977;9,015409977;;55,62667847;;23,96474075;;5,238802842;;;67,861;;;;;;;;;2,8
Argentina;1978;11,16611167;;55,34373093;;21,25099945;;-6,027002039;;;68,197;;;;;;;;;2,8
Argentina;1979;11,00784596;;54,96628952;;22,12047005;;8,472518077;;;68,491;;;;;;;;;2
Argentina;1980;;;55,65438843;;21,71590042;;-0,077522758;;;68,564;;;;;;;;;2,3
Argentina;1981;;;56,83385849;;23,19234085;;-6,676587246;;;68,976;;;;;;;;;4,5
Argentina;1982;;;58,73199081;;23,95490074;;-2,285150415;;;68,937;;;;;;;;;4,73
Argentina;1983;;;59,59236908;;24,98277092;;2,735130038;3727,04801;1,0949E+11;69,267;;;;;;;;;4,17
Argentina;1984;;;65,26048279;;28,79282951;;0,021379788;3787,470679;1,12989E+11;69,195;;;;;;;;;3,54
Argentina;1985;;;70,21035767;;35,51288986;;-6,613093277;2919,283511;88416666667;69,651;;;;;;;;;5,3
Argentina;1986;;;70,23777771;;37,50738907;;4,561114003;3454,296334;1,06214E+11;70,119;;;;;;;;;4,4
Argentina;1987;4,714494499;;69,91692352;;39,40068817;;1,164689931;3492,691474;1,09029E+11;70,564;;;;;;;;;5,3
Argentina;1988;4,321910284;;70,39897919;;;;-2,570391833;4005,201258;1,26928E+11;71,052;;;;;;;;;6
Argentina;1989;4,494395965;;;;;;-8,527911411;2382,335862;76629657864;71,425;;;;;;;;;7,3
Argentina;1990;3,135428392;;72,40821838;;;;-3,877389883;4330,968191;1,41353E+11;71,784;;;;10,32544045;4,838513147;5,133741154;;;7,06
Argentina;1991;3,321761288;;73,74807739;;38,27970123;;7,589999664;5730,72381;1,8972E+11;72,319;;;;11,20554093;5,008236547;4,987968829;;;5,44
Argentina;1992;2,975538028;;;;;;6,450073131;6815,32933;2,28779E+11;72,43;;;;11,80110992;5,547922134;6,687768914;;;6,36
Argentina;1993;13,51037847;;;;;;6,747497372;6957,417499;2,36742E+11;72,565;;;;14,28185612;8,015138006;15,29420453;;;10,1
Argentina;1994;13,18690437;;71,08656311;;37,13759995;;4,420120785;7464,474737;2,5744E+11;73,172;;;;14,90079242;8,126437228;19,43338416;;;11,76
Argentina;1995;13,34945568;;;;;;-4,116880801;7383,70451;2,58032E+11;73,133;;;;15,51123069;8,054357652;17,95042054;;;18,8
Argentina;1996;12,50167766;;78,97640228;;;;4,204967319;7690,157003;2,7215E+11;73,307;;;;15,16554764;8,171787775;21,08770431;53,76343918;60,10929108;17,11
Argentina;1997;12,06201425;;74,94843292;;;;6,823321092;8176,771195;2,92859E+11;73,09;;;;15,01422186;8,690086356;21,32402347;;;14,82
Argentina;1998;12,494775;97,21217;81,11338043;74,40915;47,99156189;;2,654347597;8250,673174;2,98948E+11;73,474;;;;15,09880054;9,030526186;24,15007816;50,26737976;63,93442535;12,65
Argentina;1999;13,72321141;98,20092;92,76284027;76,26566;49,63843155;;-4,492112129;7735,32208;2,83523E+11;73,722;;;;16,7436857;9,076124336;25,00495475;;;14,05
Argentina;2000;13,78419131;97,69371;96,62178802;78,48781;54,33327103;;-1,906987498;7666,517834;2,84204E+11;73,926;8,22001076;;;16,83288838;9,622603502;25,10695559;52,12765884;54,64480972;15
Argentina;2001;14,15627431;97,39566;98,0622406;78,94955;58,79169083;;-5,453796978;7168,975872;2,68697E+11;74,186;8,37179852;;;16,9923529;9,324898794;26,56162071;;;17,32
Argentina;2002;12,2352473;96,5178;97,46813202;78,81052;62,05926132;;-11,84595039;2579,488769;97724004252;74,408;7,3933115;;;19,67717064;9,818958347;18,70318421;41,79894257;48,10810852;19,59
Argentina;2003;11,43805679;96,70928;96,50583649;78,51365;64,40245056;;7,719229637;3333,152904;1,27587E+11;74,08;6,89451647;;;19,83730299;12,5187797;22,04507389;40,2116394;55,13513565;15,36
Argentina;2004;11,11463607;95,86633;95,99761963;78,53653;64,8878479;;7,928157051;4258,160261;1,64658E+11;74,855;7,22868252;;;16,87634164;13,1007799;24,2023542;39,90147781;57,21393204;13,522
Argentina;2005;12,14186124;95,38558;94,18666077;77,93493;63,7323494;;7,732496999;5086,627761;1,98737E+11;75,139;7,61078882;;;;13,10317565;25,24701628;43,4146347;52,94117737;11,506
Argentina;2006;12,42941537;94,96292;92,96173096;77,80917;67,11859131;;6,934981738;5890,978002;2,32557E+11;75,433;7,64032793;;;;12,8788867;25,02567773;43,4146347;53,658535;10,078
Argentina;2007;12,9893239;95,16004;92,61042023;77,68491;66,90944672;;7,916210572;7210,595548;2,87531E+11;75,006;7,83455086;;;;12,44826845;20,56269787;44,17475891;53,88349533;8,47
Argentina;2008;13,63351326;95,31151;93,50382233;78,65304;68,81629181;;3,029785407;8977,506851;3,61558E+11;75,641;8,1826973;;;;13,31784636;18,66942376;39,80582428;52,42718506;7,837
Argentina;2009;15,90389675;95,87691;96,6370163;80,56529;71,03746033;;-6,867955225;8184,389889;3,32976E+11;75,936;9,45599556;;;;12,38304156;19,20280383;40,19138718;47,36841965;8,645
Argentina;2010;15,16371789;96,17801;99,23000336;82,09918;74,18753052;;9,844296398;10385,96443;4,23627E+11;75,721;9,44546413;0,8;;;12,85304269;19,16404823;44,76190567;51,67464066;7,714
